reactor type,Enrichment,Power MWt, Fuel Lifetime ,Mass U235,Mass U238
HPMR,0.1975,7,1111,102031,419883
HPMR,0.1975,4,1882,102031,419883
HPMR,0.1975,2,4147,102031,419883
HPMR,0.1975,1,7720,102031,419883
HPMR,0.17,1,2919,87824,434272
HPMR,0.16,1,330,82658,439504
HPMR,0.155,1,0,80075,442120
HPMR,0.155,7,0,80075,442120
HPMR,0.05,1,0,25831,496364
HPMR,0.05,7,0,25831,496364
GCMR,0.05,1,3735,20501,389249
GCMR,0.05,2,1783,20501,389249
GCMR,0.05,4,854,20501,389249
GCMR,0.05,8,361,20501,389249
GCMR,0.05,20,115,20501,389249
GCMR,0.1,1,18694,41001,368458
GCMR,0.1,2,9587,41001,368458
GCMR,0.1,4,4694,41001,368458
GCMR,0.1,8,2334,41001,368458
GCMR,0.1,20,884,41001,368458
GCMR,0.15,1,32412,61500,347668
GCMR,0.15,2,16727,61500,347668
GCMR,0.15,4,8365,61500,347668
GCMR,0.15,8,4152,61500,347668
GCMR,0.15,20,1610,61500,347668
GCMR,0.1975,1,44769,80972,327919
GCMR,0.1975,2,22839,80972,327919
GCMR,0.1975,4,11440,80972,327919
GCMR,0.1975,8,5742,80972,327919
GCMR,0.1975,20,2253,80972,327919
LTMR,0.05,1,2050,17067,328414
LTMR,0.05,2,880,17067,328414
LTMR,0.05,4,447,17067,328414
LTMR,0.05,8,130,17067,328414
LTMR,0.05,20,32,17067,328414
LTMR,0.1,1,15973,34155,311326
LTMR,0.1,2,7870,34155,311326
LTMR,0.1,4,3946,34155,311326
LTMR,0.1,8,1942,34155,311326
LTMR,0.1,20,737,34155,311326
LTMR,0.15,1,27649,51265,294216
LTMR,0.15,2,14291,51265,294216
LTMR,0.15,4,7183,51265,294216
LTMR,0.15,8,3517,51265,294216
LTMR,0.15,20,1376,51265,294216
LTMR,0.1975,1,39037,67539,277942
LTMR,0.1975,2,19923,67539,277942
LTMR,0.1975,4,10066,67539,277942
LTMR,0.1975,8,5066,67539,277942
LTMR,0.1975,20,1976,67539,277942